route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type,wheelchair_accessible
1,W.632,11922982,0,6174,521429,,1
1,W.632,11922983,0,6470,521429,,1
1,W.632,11922986,1,6169,521430,,1
1,W.632,11922987,1,6607,521430,,1
1,W.634,12000352,0,6174,523139,,1
1,W.634,12000353,0,6470,523139,,1
1,s.634,12000354,0,6174,523139,,1
1,s.634,12000355,0,6470,523139,,1
1,W.634,12000356,1,6169,523140,,1
1,W.634,12000357,1,6607,523140,,1
1,s.634,12000358,1,6169,523140,,1
1,s.634,12000359,1,6607,523140,,1
2,S.632,11923078,0,235,521432,,1
2,S.632,11923079,0,237,521432,,1
2,S.632,11923080,0,243,521432,,1
2,S.632,11923081,0,245,521432,,1
2,S.632,11923082,0,247,521432,,1
2,S.632,11923083,0,251,521432,,1
2,S.632,11923084,0,253,521432,,1
2,S.632,11923085,0,255,521432,,1
2,S.632,11923086,0,259,521432,,1
2,S.632,11923087,0,235,521432,,1
2,S.632,11923088,0,263,521432,,1
2,S.632,11923089,0,237,521432,,1
2,S.632,11923090,0,241,521432,,1
2,S.632,11923091,0,243,521432,,1
2,S.632,11923092,0,244,521432,,1
2,S.632,11923093,0,245,521432,,1
2,S.632,11923094,0,247,521432,,1
2,S.632,11923095,0,249,521432,,1
2,S.632,11923096,0,251,521432,,1
2,S.632,11923097,0,253,521432,,1
2,S.632,11923098,0,255,521432,,1
2,S.632,11923099,0,259,521432,,1
2,S.632,11923100,0,235,521432,,1
2,S.632,11923101,0,263,521432,,1
2,S.632,11923102,0,237,521432,,1
2,S.632,11923103,0,239,521432,,1
2,S.632,11923104,0,241,521432,,1
2,S.632,11923105,0,243,521432,,1
2,S.632,11923106,0,244,521432,,1
2,S.632,11923107,0,245,521432,,1
2,S.632,11923108,0,247,521432,,1
2,S.632,11923109,0,249,521432,,1
2,S.632,11923110,0,251,521432,,1
2,S.632,11923111,0,253,521432,,1
2,S.632,11923112,0,255,521432,,1
2,S.632,11923113,0,257,521432,,1
2,S.632,11923114,0,259,521432,,1
2,S.632,11923115,0,261,521432,,1
2,S.632,11923116,0,263,521432,,1
2,S.632,11923117,0,234,521432,,1
2,S.632,11923118,0,236,521431,,1
2,S.632,11923119,0,241,521432,,1
2,S.632,11923120,0,242,521431,,1
2,S.632,11923121,0,244,521432,,1
2,S.632,11923122,0,246,521432,,1
2,S.632,11923123,0,248,521432,,1
2,S.632,11923124,0,249,521432,,1
2,S.632,11923125,0,252,521431,,1
2,S.632,11923126,0,254,521432,,1
2,S.632,11923127,0,256,521431,,1
2,S.632,11923128,0,257,521432,,1
2,S.632,11923129,0,258,521432,,1
2,S.632,11923130,0,260,521431,,1
2,S.632,11923131,0,262,521432,,1
2,S.632,11923132,0,234,521432,,1
2,S.632,11923133,0,236,521432,,1
2,S.632,11923134,0,238,521432,,1
2,S.632,11923135,0,240,521432,,1
2,S.632,11923136,0,242,521432,,1
2,S.632,11923137,0,246,521432,,1
2,S.632,11923138,0,248,521432,,1
2,S.632,11923139,0,250,521432,,1
2,S.632,11923140,0,252,521432,,1
2,S.632,11923141,0,254,521432,,1
2,S.632,11923142,0,256,521432,,1
2,S.632,11923143,0,257,521432,,1
2,S.632,11923144,0,258,521432,,1
2,S.632,11923145,0,260,521432,,1
2,S.632,11923146,0,262,521432,,1
2,S.632,11923147,0,234,521432,,1
2,S.632,11923148,0,236,521432,,1
2,S.632,11923149,0,238,521432,,1
2,S.632,11923150,0,240,521432,,1
2,S.632,11923151,0,246,521432,,1
2,S.632,11923152,0,248,521432,,1
2,S.632,11923153,0,250,521432,,1
2,S.632,11923154,0,252,521432,,1
2,S.632,11923155,0,254,521432,,1
2,S.632,11923156,0,256,521432,,1
2,S.632,11923157,0,258,521432,,1
2,S.632,11923158,0,260,521432,,1
2,S.632,11923159,0,262,521432,,1
2,S.632,11923160,0,238,521432,,1
2,S.632,11923161,0,240,521432,,1
2,S.632,11923162,0,250,521432,,1
2,S.632,11923163,0,252,521432,,1
2,S.632,11923164,0,256,521432,,1
2,S.632,11923165,0,260,521432,,1
2,U.632,11923166,0,235,521432,,1
2,U.632,11923167,0,237,521432,,1
2,U.632,11923168,0,243,521432,,1
2,U.632,11923169,0,245,521432,,1
2,U.632,11923170,0,247,521432,,1
2,U.632,11923171,0,251,521432,,1
2,U.632,11923172,0,253,521432,,1
2,U.632,11923173,0,255,521432,,1
2,U.632,11923174,0,259,521432,,1
2,U.632,11923175,0,235,521432,,1
2,U.632,11923176,0,263,521432,,1
2,U.632,11923177,0,237,521432,,1
2,U.632,11923178,0,241,521432,,1
2,U.632,11923179,0,243,521432,,1
2,U.632,11923180,0,244,521432,,1
2,U.632,11923181,0,245,521432,,1
2,U.632,11923182,0,247,521432,,1
2,U.632,11923183,0,249,521432,,1
2,U.632,11923184,0,251,521432,,1
2,U.632,11923185,0,253,521432,,1
2,U.632,11923186,0,255,521432,,1
2,U.632,11923187,0,259,521432,,1
2,U.632,11923188,0,235,521432,,1
2,U.632,11923189,0,263,521432,,1
2,U.632,11923190,0,237,521432,,1
2,U.632,11923191,0,239,521432,,1
2,U.632,11923192,0,241,521432,,1
